Joining Joining VBG O I-V O
us us PRP O O B-NP
live live RB O O O
from from IN O O O
Jeddah Jeddah NNP B-GPE O B-NP
is is VBZ O I-V B-VP
Doctor Doctor NNP O O B-NP
Zuhair Zuhair NNP B-PERSON O I-NP
Al Al NNP I-PERSON O I-NP
- - HYPH I-PERSON O I-NP
Harithy Harithy NNP I-PERSON O I-NP
, , , O O O
the the DT O O B-NP
writer writer NN O O I-NP
and and CC O O I-NP
researcher researcher NN O O I-NP
on on IN O O O
political political JJ O O B-NP
issues issues NNS O O I-NP
. . . O O O

Doctor Doctor NNP O O O
Zuhair Zuhair NNP B-PERSON O O
, , , O O O
do do VBP O O O
you you PRP O O O
expect expect VB O I-V B-VP
this this DT O O I-VP
summit summit NN O O I-VP
to to TO O O B-VP
be be VB O I-V B-VP
any any RB O O I-VP
different different JJ O O I-VP
from from IN O O I-VP
previous previous JJ O O B-NP
summits summits NNS O O I-NP
? ? . O O O

Well Well UH O O O
, , , O O O
by by IN O O O
God God NNP O O B-NP
, , , O O O
we we PRP O O O
hope hope VBP O I-V B-VP
so so RB O O I-VP
, , , O O I-VP
I I PRP O O I-VP
mean mean VBP O I-V B-VP
, , , O O O
uh uh UH O O O
, , , O O O
when when WRB O O O
, , , O O O
uh uh UH O O O
, , , O O O
we we PRP O O O
feel feel VBP O I-V B-VP
that that IN O O B-SBAR
the the DT O O B-NP
attendance attendance NN O O I-NP
of of IN O O O
all all PDT O O B-NP
the the DT O O I-NP
leaders leaders NNS O O I-NP
, , , O O O
uh uh UH O O O
, , , O O O
reflects reflects VBZ O I-V B-VP
, , , O O I-VP
uh uh UH O O I-VP
, , , O O I-VP
the the DT O O B-NP
importance importance NN O O I-NP
of of IN O O O
this this DT O O B-NP
summit summit NN O O I-NP
. . . O O O

And And CC O O O
, , , O O O
uh uh UH O O O
, , , O O O
I I PRP O O O
also also RB O O O
relate relate VBP O I-V B-VP
what what WP O O B-SBAR
you you PRP O O I-SPAR
said said VBD O I-V B-VP
about about IN O O O
the the DT O O B-NP
speech speech NN O O I-NP
of of IN O O O
the the DT O O B-NP
Custodian Custodian NNP O O I-NP
of of IN O O O
the the DT B-FAC O B-NP
Two Two NNP I-FAC O I-NP
Holy Holy NNP I-FAC O I-NP
Shrines Shrines NNPS I-FAC O I-NP
today today NN O O O
, , , O O O
which which WDT O O B-SBAR
was was VBD O I-V B-VP
, , , O O I-VP
I I PRP O O I-VP
mean mean VBP O I-V B-VP
, , , O O O
unconventional unconventional JJ O O O
and and CC O O O
revealed revealed VBD O I-V B-VP
that that IN O O B-SBAR
there there EX O O I-SPAR
is is VBZ O I-V B-VP
actually actually RB O O I-VP
a a DT O O I-VP
serious serious JJ O O I-VP
desire desire NN O O I-VP
to to TO O O B-VP
come come VB O I-V B-VP
out out RP O O I-VP
with with IN O O I-VP
complementary complementary JJ O O B-NP
resolutions resolutions NNS O O I-NP
that that WDT O O B-SBAR
would would MD O O B-VP
benefit benefit VB O I-V B-VP
, , , O O I-VP
uh uh UH O O I-VP
, , , O O I-VP
the the DT O O B-NP
Council Council NNP B-ORG O I-NP
states states NNS O O I-NP
and and CC O O O
their their PRP$ O O B-NP
peoples peoples NNS O O I-NP
. . . O O O

Okay Okay UH O O O
, , , O O O
Doctor Doctor NN O O O
, , , O O O
I I PRP O O O
mean mean VBP O I-V B-VP
, , , O O O
uh uh UH O O O
, , , O O O
you you PRP O O O
mentioned mentioned VBD O I-V B-VP
the the DT O O B-NP
Saudi Saudi JJ B-NORP O I-NP
king king NN O O I-NP
's 's POS O O I-NP
speech speech NN O O O
. . . O O O

There There EX O O O
's 's VBZ O I-V B-VP
no no DT O O I-VP
doubt doubt NN O O I-VP
that that IN O O I-VP
in in IN O O I-SPAR
the the DT O O B-NP
speech speech NN O O I-NP
, , , O O O
he he PRP O O O
pinpointed pinpointed VBD O I-V B-VP
a a DT O O B-NP
lot lot NN O O I-NP
of of IN O O O
painful painful JJ O O B-NP
areas areas NNS O O I-NP
in in IN O O O
the the DT O O B-NP
Arab Arab JJ B-NORP O I-NP
body body NN O O I-NP
politic politic NN O O I-NP
. . . O O O

How How WRB O O O
would would MD O O O
you you PRP O O O
