After After IN O O O
the the DT O O B-NP
Handover Handover NN O O I-NP
: : : O O O
Taiwan Taiwan NNP B-NORP O B-NP
- - HYPH I-NORP O I-NP
Macau Macau NNP I-NORP O I-NP
Relations Relations NNS O I-V I-NP
in in IN O O O
the the DT B-DATE O B-NP
New New JJ I-DATE O I-NP
Millennium Millennium NN I-DATE O I-NP

Last Last JJ B-DATE O O
year year NN I-DATE O O
, , , O O O
nearly nearly RB O O B-NP
one one CD B-CARDINAL O I-NP
million million CD I-CARDINAL O I-NP
travelers travelers NNS O O I-NP
from from IN O O O
Taiwan Taiwan NNP B-GPE O B-NP
passed passed VBD O I-V B-VP
through through IN O O I-VP
Macau Macau NNP B-FAC O B-NP
Airport Airport NNP I-FAC O I-NP
, , , O O O
heading heading VBG O I-V B-VP
for for IN O O I-VP
mainland mainland NN O O B-NP
China China NNP B-GPE O I-NP
or or CC O O O
visiting visiting VBG O I-V B-VP
Macau Macau NNP B-GPE O B-NP
itself itself PRP O O B-NP
, , , O O O
and and CC O O O
accounting accounting VBG O I-V B-VP
for for IN O O I-VP
80 80 CD B-PERCENT O B-NP
% % NN I-PERCENT O I-NP
of of IN O O O
passengers passengers NNS O O B-NP
using using VBG O I-V B-VP
the the DT O O B-NP
airport airport NN O O I-NP
. . . O O O

Around Around RB O O B-NP
1,000 1,000 CD B-CARDINAL O I-NP
of of IN O O O
Macau Macau NNP B-GPE O B-NP
's 's POS O O I-NP
civil civil JJ O O O
servants servants NNS O O O
have have VBP O I-V B-VP
studied studied VBN O I-V B-VP
in in IN O O I-VP
Taiwan Taiwan NNP B-GPE O B-NP
, , , O O O
and and CC O O O
every every DT B-DATE O O
year year NN I-DATE O O
some some DT O O O
30,000 30,000 CD B-CARDINAL O O
people people NNS O O O
travel travel VBP O I-V B-VP
from from IN O O I-VP
Macau Macau NNP B-GPE O B-NP
to to IN O O O
Taiwan Taiwan NNP B-GPE O B-NP
for for IN O O O
business business NN O O B-NP
or or CC O O I-NP
work work NN O O I-NP
, , , O O O
along along IN O O O
with with IN O O O
more more JJR O O B-NP
than than IN O O I-NP
400 400 CD B-CARDINAL O I-NP
students students NNS O O I-NP
. . . O O O

But But CC O O O
against against IN O O O
the the DT O O B-NP
backdrop backdrop NN O O I-NP
of of IN O O O
continued continued VBN O I-V B-NP
proclamations proclamations NNS O O I-NP
from from IN O O O
the the DT O O B-NP
PRC PRC NNP B-ORG O I-NP
about about IN O O O
how how WRB O O O
" " `` O O O
Macau Macau NNP B-GPE O B-NP
's 's POS O O I-NP
' ' `` O O O
one one CD B-CARDINAL O B-NP
country country NN O O I-NP
two two CD B-CARDINAL O B-NP
systems systems NNS O O I-NP
' ' '' O O O
arrangement arrangement NN O O O
sets sets VBZ O I-V B-VP
an an DT O O B-NP
example example NN O O I-NP
for for IN O O O
solving solving VBG O I-V B-VP
the the DT O O B-NP
Taiwan Taiwan NNP B-GPE O I-NP
problem problem NN O O I-NP
, , , O O O
" " '' O O O
these these DT O O B-NP
figures figures NNS O O I-NP
, , , O O O
along along IN O O O
with with IN O O O
the the DT O O B-NP
Taiwan Taiwan NNP B-NORP O I-NP
- - HYPH I-NORP O I-NP
Macau Macau NNP I-NORP O I-NP
exchanges exchanges NNS O I-V I-NP
that that WDT O O B-SBAR
they they PRP O O I-SPAR
represent represent VBP O I-V B-VP
, , , O O O
have have VBP O I-V B-VP
been been VBN O I-V B-VP
willfully willfully RB O O I-VP
neglected neglected VBN O I-V B-VP
by by IN O O O
Macau Macau NNP B-GPE O B-NP
's 's POS O O I-NP
mainstream mainstream NN O O O
media media NN O O O
. . . O O O

Macau Macau NNP B-GPE None B-NP
and and CC O None I-NP
Taiwan Taiwan NNP B-GPE None I-NP
: : : O None O
so so RB O None O
near near RB O None O
and and CC O None O
yet yet CC O None O
so so RB O None O
far far RB O None O
. . . O None O

What What WP O O O
are are VBP O I-V B-VP
the the DT O O B-NP
connections connections NNS O I-V I-NP
that that WDT O O B-SBAR
bind bind VBP O I-V B-VP
these these DT O O B-NP
two two CD B-CARDINAL O I-NP
places places NNS O O I-NP
, , , O O O
and and CC O O O
what what WP O O O
are are VBP O I-V B-VP
the the DT O O B-NP
opportunities opportunities NNS O O I-NP
for for IN O O O
new new JJ O O B-NP
developments developments NNS O O I-NP
in in IN O O O
the the DT O O B-NP
wake wake NN O O I-NP
of of IN O O O
the the DT O O B-NP
1999 1999 CD B-DATE O I-NP
handover handover NN O O I-NP
? ? . O O O

On On IN O O O
December December NNP B-DATE O B-NP
19 19 CD I-DATE O I-NP
, , , I-DATE O I-NP
1999 1999 CD I-DATE O I-NP
, , , O O O
the the DT O O B-NP
eve eve NN O O I-NP
of of IN O O O
Macau Macau NNP B-GPE O B-NP
's 's POS O O I-NP
transfer transfer NN O I-V O
of of IN O O O
sovereignty sovereignty NN O O B-NP
, , , O O O
the the DT B-ORG O B-NP
China China NNP I-ORG O I-NP
Times Times NNP I-ORG O I-NP
in in IN O O O
Taiwan Taiwan NNP B-GPE O B-NP
published published VBD O I-V B-VP
a a DT O O B-NP
survey survey NN O I-V I-NP
on on IN O O O
the the DT O O B-NP
Taiwanese Taiwanese JJ B-NORP O I-NP
public public NN O O I-NP
's 's POS O O I-NP
views views NNS O O O
about about IN O O O
Macau Macau NNP B-GPE O B-NP
's 's POS O O I-NP
return return NN O I-V O
to to IN O O O
Chinese Chinese JJ B-NORP O B-NP
control control NN O O I-NP
. . . O O O

According According VBG O O O
to to IN O O O
the the DT O O B-NP
survey survey NN O I-V I-NP
, , , O O O
31 31 CD B-PERCENT O B-NP
% % NN I-PERCENT O I-NP
of of IN O O O
people people NNS O O B-NP
in in IN O O O
Taiwan Taiwan NNP B-GPE O B-NP
were were VBD O I-V B-VP
n't n't RB O O I-VP
even even RB O O I-VP
aware aware JJ O O I-VP
that that IN O O B-SBAR
Macau Macau NNP B-GPE O I-SPAR
was was VBD O I-V B-VP
about about JJ O O I-VP
to to TO O O B-VP
be be VB O I-V B-VP
handed handed VBN O I-V B-VP
back back RP O O O
to to IN O O O
China China NNP B-GPE O B-NP
, , , O O O
while while IN O O O
53 53 CD B-PERCENT O O
% % NN I-PERCENT O O
answered answered VBN O I-V B-VP
that that IN O O B-SBAR
they they PRP O O I-SPAR
did did VBD O I-V B-VP
n't n't RB O O I-VP
know know VB O I-V B-VP
whether whether IN O O B-SBAR
the the DT O O I-SPAR
handover handover NN O O I-SPAR
would would MD O O B-VP
be be VB O I-V B-VP
beneficial beneficial JJ O O I-VP
or or CC O O I-VP
harmful harmful JJ O O I-VP
for for IN O O I-VP
Macau Macau NNP B-GPE O B-NP
's 's POS O O I-NP
development development NN O O O
. . . O O O

But But CC O O O
when when WRB O O O
asked asked VBN O I-V B-VP
whether whether IN O O B-SBAR
the the DT O O B-NP
" " `` O O I-NP
one one CD B-CARDINAL O B-NP
country country NN O O I-NP
two two CD B-CARDINAL O B-NP
systems systems NNS O O I-NP
" " '' O O O
formula formula NN O O O
, , , O O O
as as IN O O O
used used VBN O I-V B-VP
for for IN O O I-VP
Hong Hong NNP B-GPE O B-NP
Kong Kong NNP I-GPE O I-NP
and and CC O O O
Macau Macau NNP B-GPE O B-NP
, , , O O O
was was VBD O I-V B-VP
acceptable acceptable JJ O O I-VP
for for IN O O I-VP
Taiwan Taiwan NNP B-GPE O B-NP
, , , O O O
59 59 CD B-PERCENT O O
% % NN I-PERCENT O O
responded responded VBD O I-V B-VP
" " `` O O I-VP
No No UH O O I-VP
, , , O O I-VP
" " '' O O I-VP
while while IN O O I-VP
27 27 CD B-PERCENT O I-VP
% % NN I-PERCENT O I-VP
said said VBD O I-V B-VP
that that IN O O B-SBAR
they they PRP O O I-SPAR
did did VBD O I-V B-VP
n't n't RB O O I-VP
know know VB O I-V B-VP
. . . O O O

As As IN O O O
these these DT O O O
results results NNS O O O
clearly clearly RB O O O
indicate indicate VBP O I-V B-VP
, , , O O O
the the DT O O B-NP
people people NNS O O I-NP
of of IN O O O
