%um O O 
, O O 
how O O 
are O O 
you O O 
guys O O 
? O O 
How O O 
is O O 
Chris B-PERSON B-PERSON 
and O O 
how O O 
are O O 
you O O 
? O O 
Well O O 
pretty O O 
well O O 
. O O 
Chris B-PERSON B-PERSON 
is O O 
not O O 
here O O 
at O O 
the O O 
moment O O 
. O O 

She O O 
's O O 
been O O 
away O O 
with O O 
her O O 
class O O 
oh O O 
. O O 
up O O 
around O O 
Blandenburg B-GPE B-GPE 
for O O 
about B-DATE B-DATE 
two I-DATE I-DATE 
weeks I-DATE I-DATE 
on O O 
a O O 
, O O 
what O O 
they O O 
call O O 
Feldmessen O B-PERSON 
. O O 
Feldmessen O B-PERSON 
is O O 
, O O 
%um O O 
, O O 
surveying O O 
. O O 
%hm O O 
. O O 
%uh O O 
, O O 
so O O 
she O O 
's O O 
been O O 
away O O 
for O O 
two B-DATE B-DATE 
weeks I-DATE I-DATE 
. O O 
She O O 
's O O 
coming O O 
back O O 
tonight B-TIME O 
. O O 

ha O O 
. O O 
So O O 
we O O 
're O O 
looking O O 
forward O O 
to O O 
that O O 
. O O 
oh O O 
, O O 
I O O 
'm O O 
sorry O O 
we O O 
're O O 
going O O 
to O O 
miss O O 
her O O 
. O O 
yeah O O 
, O O 
oh O O 
gosh O O 
. O O 
I O O 
bet O O 
you O O 
're O O 
getting O O 
lonely O O 
. O O 

yeah O O 
, O O 
well O O 
. O O 
Claudia B-PERSON B-PERSON 
's O O 
been O O 
here O O 
and O O 
we O O 
've O O 
been O O 
doing O O 
okay O O 
. O O 
%mm O O 
. O O 
And O O 
I O O 
'm O O 
actually O O 
waiting O O 
for O O 
Claudia B-PERSON B-PERSON 
to O O 
show O O 
up O O 
because O O 
we O O 
were O O 
supposed O O 
to O O 
go O O 
into O O 
town O O 
and O O 
meet O O 
some O O 
people O O 
in O O 
town O O 
. O O 

I O O 
've O O 
got O O 
a O O 
student O O 
here O O 
who O O 
's O O 
checking O O 
out O O 
rooms O O 
and O O 
stuff O O 
. O O 
%mm O O 
. O O 
She O O 
's O O 
coming O O 
in O O 
the O O 
fall B-DATE O 
, O O 
but O O 
she O O 
was O O 
in O O 
a O O 
place O O 
called O O 
Taiwa B-GPE B-GPE 
. O O 
You O O 
know O O 
Tufts B-ORG O 
yeah O O 
